===== 2026-05-16 00:00:01 MSK =====
Start: 2026-05-15T21:00:01+0000
HOST: vdska                                      Loss%   Snt   Last   Avg  Best  Wrst StDev
  1. AS49791  _gateway                            0.4%   500    1.4   0.9   0.4   4.4   0.6
  2. AS49791  45.144.48.244                       1.4%   500    1.0   1.1   0.4   3.1   0.6
  3. AS49791  45.144.48.245                       0.2%   500    1.7   1.0   0.5   3.1   0.6
  4. AS28917  waw-lim-b1-ae1-vlan3660.fiord.net   1.2%   500    1.6   6.4   0.6 105.5  10.6
  5. AS???    ???                                100.0   500    0.0   0.0   0.0   0.0   0.0
  6. AS28917  google-stk-gw.fiord.net             1.4%   500   21.2  21.7  21.0  29.0   0.7
  7. AS15169  216.239.57.151                      1.8%   500   22.2  21.9  21.2  26.0   0.7
  8. AS15169  209.85.241.225                      1.0%   500   24.1  23.1  22.0  46.8   1.5
  9. AS15169  dns.google                          0.8%   500   21.8  21.8  21.1  23.8   0.6

