===== 2026-05-22 00:00:01 MSK =====
Start: 2026-05-21T21:00:01+0000
HOST: vdska                                      Loss%   Snt   Last   Avg  Best  Wrst StDev
  1. AS49791  _gateway                            0.8%   500    0.8   0.9   0.3   7.6   0.6
  2. AS49791  45.144.48.244                       0.6%   500    1.1   1.0   0.4   3.0   0.6
  3. AS49791  45.144.48.245                       0.4%   500    0.8   1.1   0.5   3.2   0.6
  4. AS28917  waw-lim-b1-ae1-vlan3660.fiord.net   1.2%   500   12.7   5.7   0.6  59.7   7.5
  5. AS???    ???                                100.0   500    0.0   0.0   0.0   0.0   0.0
  6. AS28917  google-stk-gw.fiord.net             2.0%   500   22.9  21.8  21.0  29.0   0.8
  7. AS15169  216.239.57.151                      0.4%   500   27.1  28.5  27.0 336.4  14.8
  8. AS15169  209.85.241.225                      1.4%   500   23.1  23.1  22.0  30.9   1.1
  9. AS15169  dns.google                          2.0%   500   21.3  21.7  21.1  23.9   0.6

