===== 2026-05-31 00:00:01 MSK =====
Start: 2026-05-30T21:00:01+0000
HOST: vdska                                      Loss%   Snt   Last   Avg  Best  Wrst StDev
  1. AS49791  _gateway                            0.0%   500    0.4   0.4   0.3   7.0   0.3
  2. AS49791  45.144.48.244                       0.0%   500    0.5   0.5   0.4   1.3   0.1
  3. AS49791  45.144.48.245                       0.0%   500    0.5   0.5   0.5   1.0   0.1
  4. AS28917  waw-lim-b1-ae1-vlan3660.fiord.net   0.2%   500    1.0   4.8   0.5  73.6  10.1
  5. AS???    ???                                100.0   500    0.0   0.0   0.0   0.0   0.0
  6. AS15169  142.250.160.114                    51.2%   500   21.6  23.1  21.5 387.8  23.4
  7. AS15169  72.14.237.119                       0.8%   500   27.9  27.9  27.6  29.7   0.2
  8. AS15169  172.253.72.119                      1.8%   500   23.4  22.8  22.2  32.6   1.3
  9. AS15169  dns.google                          1.0%   500   21.2  21.1  21.1  24.0   0.2

