===== 2026-07-20 00:00:01 MSK =====
Start: 2026-07-19T21:00:01+0000
HOST: vdska                                      Loss%   Snt   Last   Avg  Best  Wrst StDev
  1. AS49791  _gateway                            0.0%   500    0.4   0.7   0.3 194.9   8.7
  2. AS49791  45.144.48.244                       0.0%   500    0.5   0.6   0.4  85.5   3.8
  3. AS49791  45.144.48.245                       0.0%   500    0.5   0.5   0.4   4.5   0.2
  4. AS28917  waw-lim-b1-ae1-vlan3660.fiord.net   0.0%   500    8.8   5.0   0.5  78.6   8.8
  5. AS???    ???                                100.0   500    0.0   0.0   0.0   0.0   0.0
  6. AS15169  142.250.160.114                     0.0%   500   21.6  21.5  21.4  22.0   0.1
  7. AS15169  142.250.236.117                     0.4%   500   21.4  21.4  21.4  25.5   0.4
  8. AS15169  142.251.48.41                       0.0%   500   22.1  21.6  21.5  22.7   0.1
  9. AS15169  dns.google                          0.2%   500   21.3  21.4  21.3  21.9   0.1

