===== 2026-06-16 00:00:02 MSK =====
Start: 2026-06-15T21:00:02+0000
HOST: vdska                                      Loss%   Snt   Last   Avg  Best  Wrst StDev
  1. AS49791  _gateway                            0.0%   500    0.4   0.3   0.3   1.4   0.1
  2. AS49791  45.144.48.244                       0.0%   500    0.5   0.4   0.4   2.2   0.1
  3. AS49791  45.144.48.245                       0.0%   500    0.5   0.5   0.4   1.2   0.1
  4. AS28917  waw-lim-b1-ae1-vlan3660.fiord.net   0.0%   500    0.6   3.4   0.5  56.4   6.0
  5. AS???    ???                                100.0   500    0.0   0.0   0.0   0.0   0.0
  6. AS15169  142.250.160.114                    33.4%   500   21.6  21.5  21.4  22.2   0.1
  7. AS15169  72.14.237.119                       0.0%   500   22.2  23.2  21.7 104.6   8.5
  8. AS15169  142.251.65.81                       0.6%   500   21.7  21.6  21.5  30.2   0.5
  9. AS15169  dns.google                          0.2%   500   21.3  21.3  21.2  23.4   0.2

