===== 2026-05-23 00:00:01 MSK =====
Start: 2026-05-22T21:00:01+0000
HOST: vdska                                      Loss%   Snt   Last   Avg  Best  Wrst StDev
  1. AS49791  _gateway                            0.4%   500    0.7   0.7   0.3   2.9   0.5
  2. AS49791  45.144.48.244                       0.6%   500    1.0   0.8   0.4   2.9   0.5
  3. AS49791  45.144.48.245                       0.8%   500    1.5   0.9   0.5   3.5   0.5
  4. AS28917  waw-lim-b1-ae1-vlan3660.fiord.net   0.6%   500    1.3   5.5   0.6  54.7   6.5
  5. AS???    ???                                100.0   500    0.0   0.0   0.0   0.0   0.0
  6. AS28917  google-stk-gw.fiord.net             1.0%   500   21.3  21.4  21.0  23.7   0.5
  7. AS15169  216.239.57.151                      0.6%   500   21.4  22.9  21.2 273.7  16.1
  8. AS15169  209.85.241.225                      1.0%   500   23.4  22.8  22.0  37.0   1.1
  9. AS15169  dns.google                          1.2%   500   21.2  21.5  21.1  26.0   0.5

