===== 2026-06-08 00:00:01 MSK =====
Start: 2026-06-07T21:00:01+0000
HOST: vdska                                      Loss%   Snt   Last   Avg  Best  Wrst StDev
  1. AS49791  _gateway                            0.0%   500    0.4   0.4   0.4   2.5   0.1
  2. AS49791  45.144.48.244                       0.0%   500    0.5   0.5   0.5   1.1   0.1
  3. AS49791  45.144.48.245                       0.0%   500    0.5   0.5   0.5   7.7   0.3
  4. AS28917  waw-lim-b1-ae1-vlan3660.fiord.net   0.0%   500    7.8   4.5   0.5  56.7   6.0
  5. AS???    ???                                100.0   500    0.0   0.0   0.0   0.0   0.0
  6. AS15169  142.250.160.114                    28.8%   500   22.8  22.8  21.5  28.9   0.5
  7. AS15169  72.14.237.119                       6.0%   500   23.6  24.4  21.9 118.1   8.5
  8. AS15169  142.251.65.81                       5.8%   500   22.8  22.8  21.6  25.2   0.3
  9. AS15169  dns.google                          5.8%   500   22.6  22.6  21.3  25.8   0.3

