===== 2026-05-21 00:00:01 MSK =====
Start: 2026-05-20T21:00:01+0000
HOST: vdska                                      Loss%   Snt   Last   Avg  Best  Wrst StDev
  1. AS49791  _gateway                            0.4%   500    1.0   0.7   0.3  10.8   0.7
  2. AS49791  45.144.48.244                       0.2%   500    0.6   0.8   0.4   2.6   0.5
  3. AS49791  45.144.48.245                       0.2%   500    0.5   0.8   0.4   9.7   0.7
  4. AS28917  waw-lim-b1-ae1-vlan3660.fiord.net  10.0%   500    0.7   3.7   0.6  46.4   5.2
  5. AS???    ???                                100.0   500    0.0   0.0   0.0   0.0   0.0
  6. AS28917  google-stk-gw.fiord.net             0.4%   500   22.0  21.4  21.0  23.7   0.5
  7. AS15169  216.239.57.151                      1.0%   500   27.1  28.3  27.0 351.3  15.4
  8. AS15169  209.85.241.225                      0.2%   500   22.4  22.8  22.0  37.0   1.5
  9. AS15169  dns.google                          1.2%   500   21.4  21.5  21.1  23.5   0.5

