===== 2026-06-02 00:00:01 MSK =====
Start: 2026-06-01T21:00:01+0000
HOST: vdska                                      Loss%   Snt   Last   Avg  Best  Wrst StDev
  1. AS49791  _gateway                            0.0%   500    0.6   0.3   0.3   1.8   0.1
  2. AS49791  45.144.48.244                       0.0%   500    0.5   0.5   0.4   3.2   0.2
  3. AS49791  45.144.48.245                       0.0%   500    0.5   0.5   0.5   2.8   0.2
  4. AS28917  waw-lim-b1-ae1-vlan3660.fiord.net   0.0%   500    6.4   5.1   0.5 101.6   9.8
  5. AS???    ???                                100.0   500    0.0   0.0   0.0   0.0   0.0
  6. AS15169  142.250.160.114                    37.4%   500   21.6  21.6  21.4  22.8   0.2
  7. AS15169  72.14.237.119                       2.6%   500   22.2  22.2  21.8  38.4   0.9
  8. AS15169  142.251.65.81                       2.4%   500   21.6  21.7  21.6  23.3   0.2
  9. AS15169  dns.google                          4.8%   500   21.6  21.5  21.3  27.8   0.4

