===== 2026-06-29 00:00:01 MSK =====
Start: 2026-06-28T21:00:01+0000
HOST: vdska                                      Loss%   Snt   Last   Avg  Best  Wrst StDev
  1. AS49791  _gateway                            0.0%   500    0.4   1.0   0.3 159.9   9.1
  2. AS49791  45.144.48.244                       0.0%   500    0.5   0.5   0.4   7.5   0.4
  3. AS49791  45.144.48.245                       0.0%   500    0.5   0.5   0.5   1.9   0.2
  4. AS28917  waw-lim-b1-ae1-vlan3660.fiord.net   0.0%   500    0.7   4.5   0.5  75.1   8.0
  5. AS???    ???                                100.0   500    0.0   0.0   0.0   0.0   0.0
  6. AS15169  142.250.160.114                    12.8%   500   30.4  28.8  21.5  95.9   4.8
  7. AS15169  72.14.237.119                       2.6%   500   31.1  30.0  21.8  38.1   4.6
  8. AS15169  172.253.72.119                      1.8%   500   31.7  29.9  22.3  46.2   4.0
  9. AS15169  dns.google                          2.2%   500   30.4  29.0  21.1  36.8   4.5

